순위,제목,저자,출판사,가격
1,소년이 온다,한강 저,창비,"13,500"
2,채식주의자,한강 저,창비,"13,500"
3,작별하지 않는다,한강 저,문학동네,"15,120"
4,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,위즈덤하우스,"21,420"
5,서랍에 저녁을 넣어 두었다,한강 저,문학과지성사,"10,800"
6,트렌드 코리아 2025,"김난도, 전미영, 최지혜, 권정윤, 한다혜 저 외 5명",미래의창,"18,000"
7,흰,한강 저/최진혁 사진,문학동네,"13,050"
8,산타 할아버지의 첫 크리스마스,맥 바넷 글/시드니 스미스 그림/김지은 역,책읽는곰,"13,500"
9,희랍어 시간,한강 저,문학동네,"11,700"
10,넥서스,유발 하라리 저/김명주 역,김영사,"25,020"
11,어른의 행복은 조용하다,태수 저,페이지2북스,"16,020"
12,트럼프 2.0 시대,박종훈 저,글로퍼스,"18,000"
13,트럼프와 함께하는 알트코인 대폭등,강환국 저,거인의정원,"24,300"
14,일의 감각,조수용 저,레퍼런스 바이 비(REFERENCE by B),"19,800"
15,해피버쓰데이,백희나 글그림,스토리보울,"15,300"
16,고전이 답했다 마땅히 살아야 할 삶에 대하여 (나만의 책 만들기 에디션),고명환 저,라곰,"15,120"
17,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디 저/최은아 역,상상스퀘어,"19,800"
18,린치핀,세스 고딘 저/윤영삼 역,필름,"21,420"
19,모순,양귀자 저,쓰다,"11,700"
20,김미경의 딥마인드,김미경 저,어웨이크북스,"16,200"
21,너에게 들려주는 단단한 말,김종원 저,퍼스트펭귄,"16,200"
22,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,YBM(와이비엠),"17,820"
23,세이노의 가르침,세이노(SayNo) 저,데이원,"6,480"
24,후 who? special 아이브,조약돌 글/백재이 그림,다산어린이,"13,500"
25,주아쌤의 툭 치면 탁 나오는 영어회화 (특별부록 한정판),이정은 저,몽스북,"16,920"
26,인생의 의미,토마스 힐란드 에릭센 저/이영래 역,더퀘스트,"16,920"
27,이처럼 사소한 것들,클레어 키건 저/홍한별 역,다산책방,"12,420"
28,경기도 부동산의 힘,김학렬 저,에프엔미디어,"26,100"
29,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저,YBM(와이비엠),"17,820"
30,부모의 어휘력,김종원 저,카시오페아,"17,100"
31,아이에게 들려주는 부모의 예쁜 말 필사노트,김종원 저,상상아카데미,"19,800"
32,대온실 수리 보고서,김금희 저,창비,"16,200"
33,마음의 기술,"안-엘렌 클레르, 뱅상 트리부 저/구영옥 역",상상스퀘어,"18,900"
34,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 저/이지연 역,인플루엔셜,"17,820"
35,마흔에 읽는 쇼펜하우어 (200쇄 기념 확장판),강용수 저,유노북스,"15,300"
36,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북 ,"14,400"
37,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시 저/정지현 역,현대지성,"15,210"
38,주술회전 28 + 2025 A2 캘린더 세트 (한정판),아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),"41,400"
39,불변의 법칙,모건 하우절 저/이수경 역,서삼독,"22,500"
40,언젠가 우리가 같은 별을 바라본다면,차인표 저,해결책,"10,800"
