지역명,평당분양가격,월,연도
서울,18189.0,12,2013
부산,8111.0,12,2013
대구,8080.0,12,2013
인천,10204.0,12,2013
광주,6098.0,12,2013
대전,8321.0,12,2013
울산,8090.0,12,2013
경기,10855.0,12,2013
세종,7601.0,12,2013
강원,6230.0,12,2013
충북,6589.0,12,2013
충남,6365.0,12,2013
전북,6282.0,12,2013
전남,5678.0,12,2013
경북,6168.0,12,2013
경남,6473.0,12,2013
제주,7674.0,12,2013
서울,19070.5,1,2014
부산,9233.0,1,2014
대구,8317.0,1,2014
인천,10018.0,1,2014
광주,7617.0,1,2014
대전,8327.0,1,2014
울산,8153.0,1,2014
경기,10449.0,1,2014
세종,8067.0,1,2014
강원,6350.0,1,2014
충북,6593.5,1,2014
충남,6724.5,1,2014
전북,6335.0,1,2014
전남,5716.0,1,2014
경북,6555.0,1,2014
경남,6611.5,1,2014
제주,7900.0,1,2014
서울,19070.5,2,2014
부산,9233.0,2,2014
대구,8317.0,2,2014
인천,10018.0,2,2014
광주,7617.0,2,2014
대전,8327.0,2,2014
울산,8153.0,2,2014
경기,10449.0,2,2014
세종,8067.0,2,2014
강원,6350.0,2,2014
충북,6593.5,2,2014
충남,6724.5,2,2014
전북,6335.0,2,2014
전남,5716.0,2,2014
경북,6555.0,2,2014
경남,6611.5,2,2014
제주,7900.0,2,2014
서울,19070.5,3,2014
부산,9233.0,3,2014
대구,8317.0,3,2014
인천,10018.0,3,2014
광주,7617.0,3,2014
대전,8327.0,3,2014
울산,8153.0,3,2014
경기,10449.0,3,2014
세종,8067.0,3,2014
강원,6350.0,3,2014
충북,6593.5,3,2014
충남,6724.5,3,2014
전북,6335.0,3,2014
전남,5716.0,3,2014
경북,6555.0,3,2014
경남,6611.5,3,2014
제주,7900.0,3,2014
서울,19070.5,4,2014
부산,9233.0,4,2014
대구,8317.0,4,2014
인천,10018.0,4,2014
광주,7617.0,4,2014
대전,8327.0,4,2014
울산,8153.0,4,2014
경기,10449.0,4,2014
세종,8067.0,4,2014
강원,6350.0,4,2014
충북,6593.5,4,2014
충남,6724.5,4,2014
전북,6335.0,4,2014
전남,5716.0,4,2014
경북,6555.0,4,2014
경남,6611.5,4,2014
제주,7900.0,4,2014
서울,19070.5,5,2014
부산,9233.0,5,2014
대구,8317.0,5,2014
인천,10018.0,5,2014
광주,7617.0,5,2014
대전,8327.0,5,2014
울산,8153.0,5,2014
경기,10449.0,5,2014
세종,8067.0,5,2014
강원,6350.0,5,2014
충북,6593.5,5,2014
충남,6724.5,5,2014
전북,6335.0,5,2014
전남,5716.0,5,2014
경북,6555.0,5,2014
경남,6611.5,5,2014
제주,7900.0,5,2014
서울,19070.5,6,2014
부산,9233.0,6,2014
대구,8317.0,6,2014
인천,10018.0,6,2014
광주,7617.0,6,2014
대전,8327.0,6,2014
울산,8153.0,6,2014
경기,10449.0,6,2014
세종,8067.0,6,2014
강원,6350.0,6,2014
충북,6593.5,6,2014
충남,6724.5,6,2014
전북,6335.0,6,2014
전남,5716.0,6,2014
경북,6555.0,6,2014
경남,6611.5,6,2014
제주,7900.0,6,2014
서울,19070.5,7,2014
부산,9233.0,7,2014
대구,8317.0,7,2014
인천,10018.0,7,2014
광주,7617.0,7,2014
대전,8327.0,7,2014
울산,8153.0,7,2014
경기,10449.0,7,2014
세종,8067.0,7,2014
강원,6350.0,7,2014
충북,6593.5,7,2014
충남,6724.5,7,2014
전북,6335.0,7,2014
전남,5716.0,7,2014
경북,6555.0,7,2014
경남,6611.5,7,2014
제주,7900.0,7,2014
서울,19070.5,8,2014
부산,9233.0,8,2014
대구,8317.0,8,2014
인천,10018.0,8,2014
광주,7617.0,8,2014
대전,8327.0,8,2014
울산,8153.0,8,2014
경기,10449.0,8,2014
세종,8067.0,8,2014
강원,6350.0,8,2014
충북,6593.5,8,2014
충남,6724.5,8,2014
전북,6335.0,8,2014
전남,5716.0,8,2014
경북,6555.0,8,2014
경남,6611.5,8,2014
제주,7900.0,8,2014
서울,19070.5,9,2014
부산,9233.0,9,2014
대구,8317.0,9,2014
인천,10018.0,9,2014
광주,7617.0,9,2014
대전,8327.0,9,2014
울산,8153.0,9,2014
경기,10449.0,9,2014
세종,8067.0,9,2014
강원,6350.0,9,2014
충북,6593.5,9,2014
충남,6724.5,9,2014
전북,6335.0,9,2014
전남,5716.0,9,2014
경북,6555.0,9,2014
경남,6611.5,9,2014
제주,7900.0,9,2014
서울,19070.5,10,2014
부산,9233.0,10,2014
대구,8317.0,10,2014
인천,10018.0,10,2014
광주,7617.0,10,2014
대전,8327.0,10,2014
울산,8153.0,10,2014
경기,10449.0,10,2014
세종,8067.0,10,2014
강원,6350.0,10,2014
충북,6593.5,10,2014
충남,6724.5,10,2014
전북,6335.0,10,2014
전남,5716.0,10,2014
경북,6555.0,10,2014
경남,6611.5,10,2014
제주,7900.0,10,2014
서울,19070.5,11,2014
부산,9233.0,11,2014
대구,8317.0,11,2014
인천,10018.0,11,2014
광주,7617.0,11,2014
대전,8327.0,11,2014
울산,8153.0,11,2014
경기,10449.0,11,2014
세종,8067.0,11,2014
강원,6350.0,11,2014
충북,6593.5,11,2014
충남,6724.5,11,2014
전북,6335.0,11,2014
전남,5716.0,11,2014
경북,6555.0,11,2014
경남,6611.5,11,2014
제주,7900.0,11,2014
서울,19070.5,12,2014
부산,9233.0,12,2014
대구,8317.0,12,2014
인천,10018.0,12,2014
광주,7617.0,12,2014
대전,8327.0,12,2014
울산,8153.0,12,2014
경기,10449.0,12,2014
세종,8067.0,12,2014
강원,6350.0,12,2014
충북,6593.5,12,2014
